Natural emissions backed out from the RCP scenarios,,
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005,,
,MtCH4,MtN2O-N
year,ch4,n2o
2006,190.5807,8.9883
2007,190.5807,8.9883
2008,190.5807,8.9883
2009,190.5807,8.9883
2010,190.5807,8.9883
2011,190.5807,8.9883
2012,190.5807,8.9883
2013,190.5807,8.9883
2014,190.5807,8.9883
2015,190.5807,8.9883
2016,190.5807,8.9883
2017,190.5807,8.9883
2018,190.5807,8.9883
2019,190.5807,8.9883
2020,190.5807,8.9883
2021,190.5807,8.9883
2022,190.5807,8.9883
2023,190.5807,8.9883
2024,190.5807,8.9883
2025,190.5807,8.9883
2026,190.5807,8.9883
2027,190.5807,8.9883
2028,190.5807,8.9883
2029,190.5807,8.9883
2030,190.5807,8.9883
2031,190.5807,8.9883
2032,190.5807,8.9883
2033,190.5807,8.9883
2034,190.5807,8.9883
2035,190.5807,8.9883
2036,190.5807,8.9883
2037,190.5807,8.9883
2038,190.5807,8.9883
2039,190.5807,8.9883
2040,190.5807,8.9883
2041,190.5807,8.9883
2042,190.5807,8.9883
2043,190.5807,8.9883
2044,190.5807,8.9883
2045,190.5807,8.9883
2046,190.5807,8.9883
2047,190.5807,8.9883
2048,190.5807,8.9883
2049,190.5807,8.9883
2050,190.5807,8.9883
2051,190.5807,8.9883
2052,190.5807,8.9883
2053,190.5807,8.9883
2054,190.5807,8.9883
2055,190.5807,8.9883
2056,190.5807,8.9883
2057,190.5807,8.9883
2058,190.5807,8.9883
2059,190.5807,8.9883
2060,190.5807,8.9883
2061,190.5807,8.9883
2062,190.5807,8.9883
2063,190.5807,8.9883
2064,190.5807,8.9883
2065,190.5807,8.9883
2066,190.5807,8.9883
2067,190.5807,8.9883
2068,190.5807,8.9883
2069,190.5807,8.9883
2070,190.5807,8.9883
2071,190.5807,8.9883
2072,190.5807,8.9883
2073,190.5807,8.9883
2074,190.5807,8.9883
2075,190.5807,8.9883
2076,190.5807,8.9883
2077,190.5807,8.9883
2078,190.5807,8.9883
2079,190.5807,8.9883
2080,190.5807,8.9883
2081,190.5807,8.9883
2082,190.5807,8.9883
2083,190.5807,8.9883
2084,190.5807,8.9883
2085,190.5807,8.9883
2086,190.5807,8.9883
2087,190.5807,8.9883
2088,190.5807,8.9883
2089,190.5807,8.9883
2090,190.5807,8.9883
2091,190.5807,8.9883
2092,190.5807,8.9883
2093,190.5807,8.9883
2094,190.5807,8.9883
2095,190.5807,8.9883
2096,190.5807,8.9883
2097,190.5807,8.9883
2098,190.5807,8.9883
2099,190.5807,8.9883
2100,190.5807,8.9883
2101,190.5807,8.9883
2102,190.5807,8.9883
2103,190.5807,8.9883
2104,190.5807,8.9883
2105,190.5807,8.9883
2106,190.5807,8.9883
2107,190.5807,8.9883
2108,190.5807,8.9883
2109,190.5807,8.9883
2110,190.5807,8.9883
2111,190.5807,8.9883
2112,190.5807,8.9883
2113,190.5807,8.9883
2114,190.5807,8.9883
2115,190.5807,8.9883
2116,190.5807,8.9883
2117,190.5807,8.9883
2118,190.5807,8.9883
2119,190.5807,8.9883
2120,190.5807,8.9883
2121,190.5807,8.9883
2122,190.5807,8.9883
2123,190.5807,8.9883
2124,190.5807,8.9883
2125,190.5807,8.9883
2126,190.5807,8.9883
2127,190.5807,8.9883
2128,190.5807,8.9883
2129,190.5807,8.9883
2130,190.5807,8.9883
2131,190.5807,8.9883
2132,190.5807,8.9883
2133,190.5807,8.9883
2134,190.5807,8.9883
2135,190.5807,8.9883
2136,190.5807,8.9883
2137,190.5807,8.9883
2138,190.5807,8.9883
2139,190.5807,8.9883
2140,190.5807,8.9883
2141,190.5807,8.9883
2142,190.5807,8.9883
2143,190.5807,8.9883
2144,190.5807,8.9883
2145,190.5807,8.9883
2146,190.5807,8.9883
2147,190.5807,8.9883
2148,190.5807,8.9883
2149,190.5807,8.9883
2150,190.5807,8.9883
2151,190.5807,8.9883
2152,190.5807,8.9883
2153,190.5807,8.9883
2154,190.5807,8.9883
2155,190.5807,8.9883
2156,190.5807,8.9883
2157,190.5807,8.9883
2158,190.5807,8.9883
2159,190.5807,8.9883
2160,190.5807,8.9883
2161,190.5807,8.9883
2162,190.5807,8.9883
2163,190.5807,8.9883
2164,190.5807,8.9883
2165,190.5807,8.9883
2166,190.5807,8.9883
2167,190.5807,8.9883
2168,190.5807,8.9883
2169,190.5807,8.9883
2170,190.5807,8.9883
2171,190.5807,8.9883
2172,190.5807,8.9883
2173,190.5807,8.9883
2174,190.5807,8.9883
2175,190.5807,8.9883
2176,190.5807,8.9883
2177,190.5807,8.9883
2178,190.5807,8.9883
2179,190.5807,8.9883
2180,190.5807,8.9883
2181,190.5807,8.9883
2182,190.5807,8.9883
2183,190.5807,8.9883
2184,190.5807,8.9883
2185,190.5807,8.9883
2186,190.5807,8.9883
2187,190.5807,8.9883
2188,190.5807,8.9883
2189,190.5807,8.9883
2190,190.5807,8.9883
2191,190.5807,8.9883
2192,190.5807,8.9883
2193,190.5807,8.9883
2194,190.5807,8.9883
2195,190.5807,8.9883
2196,190.5807,8.9883
2197,190.5807,8.9883
2198,190.5807,8.9883
2199,190.5807,8.9883
2200,190.5807,8.9883
2201,190.5807,8.9883
2202,190.5807,8.9883
2203,190.5807,8.9883
2204,190.5807,8.9883
2205,190.5807,8.9883
2206,190.5807,8.9883
2207,190.5807,8.9883
2208,190.5807,8.9883
2209,190.5807,8.9883
2210,190.5807,8.9883
2211,190.5807,8.9883
2212,190.5807,8.9883
2213,190.5807,8.9883
2214,190.5807,8.9883
2215,190.5807,8.9883
2216,190.5807,8.9883
2217,190.5807,8.9883
2218,190.5807,8.9883
2219,190.5807,8.9883
2220,190.5807,8.9883
2221,190.5807,8.9883
2222,190.5807,8.9883
2223,190.5807,8.9883
2224,190.5807,8.9883
2225,190.5807,8.9883
2226,190.5807,8.9883
2227,190.5807,8.9883
2228,190.5807,8.9883
2229,190.5807,8.9883
2230,190.5807,8.9883
2231,190.5807,8.9883
2232,190.5807,8.9883
2233,190.5807,8.9883
2234,190.5807,8.9883
2235,190.5807,8.9883
2236,190.5807,8.9883
2237,190.5807,8.9883
2238,190.5807,8.9883
2239,190.5807,8.9883
2240,190.5807,8.9883
2241,190.5807,8.9883
2242,190.5807,8.9883
2243,190.5807,8.9883
2244,190.5807,8.9883
2245,190.5807,8.9883
2246,190.5807,8.9883
2247,190.5807,8.9883
2248,190.5807,8.9883
2249,190.5807,8.9883
2250,190.5807,8.9883
2251,190.5807,8.9883
2252,190.5807,8.9883
2253,190.5807,8.9883
2254,190.5807,8.9883
2255,190.5807,8.9883
2256,190.5807,8.9883
2257,190.5807,8.9883
2258,190.5807,8.9883
2259,190.5807,8.9883
2260,190.5807,8.9883
2261,190.5807,8.9883
2262,190.5807,8.9883
2263,190.5807,8.9883
2264,190.5807,8.9883
2265,190.5807,8.9883
2266,190.5807,8.9883
2267,190.5807,8.9883
2268,190.5807,8.9883
2269,190.5807,8.9883
2270,190.5807,8.9883
2271,190.5807,8.9883
2272,190.5807,8.9883
2273,190.5807,8.9883
2274,190.5807,8.9883
2275,190.5807,8.9883
2276,190.5807,8.9883
2277,190.5807,8.9883
2278,190.5807,8.9883
2279,190.5807,8.9883
2280,190.5807,8.9883
2281,190.5807,8.9883
2282,190.5807,8.9883
2283,190.5807,8.9883
2284,190.5807,8.9883
2285,190.5807,8.9883
2286,190.5807,8.9883
2287,190.5807,8.9883
2288,190.5807,8.9883
2289,190.5807,8.9883
2290,190.5807,8.9883
2291,190.5807,8.9883
2292,190.5807,8.9883
2293,190.5807,8.9883
2294,190.5807,8.9883
2295,190.5807,8.9883
2296,190.5807,8.9883
2297,190.5807,8.9883
2298,190.5807,8.9883
2299,190.5807,8.9883
2300,190.5807,8.9883
2301,190.5807,8.9883
2302,190.5807,8.9883
2303,190.5807,8.9883
2304,190.5807,8.9883
2305,190.5807,8.9883
2306,190.5807,8.9883
2307,190.5807,8.9883
2308,190.5807,8.9883
2309,190.5807,8.9883
2310,190.5807,8.9883
2311,190.5807,8.9883
2312,190.5807,8.9883
2313,190.5807,8.9883
2314,190.5807,8.9883
2315,190.5807,8.9883
2316,190.5807,8.9883
2317,190.5807,8.9883
2318,190.5807,8.9883
2319,190.5807,8.9883
2320,190.5807,8.9883
2321,190.5807,8.9883
2322,190.5807,8.9883
2323,190.5807,8.9883
2324,190.5807,8.9883
2325,190.5807,8.9883
2326,190.5807,8.9883
2327,190.5807,8.9883
2328,190.5807,8.9883
2329,190.5807,8.9883
2330,190.5807,8.9883
2331,190.5807,8.9883
2332,190.5807,8.9883
2333,190.5807,8.9883
2334,190.5807,8.9883
2335,190.5807,8.9883
2336,190.5807,8.9883
2337,190.5807,8.9883
2338,190.5807,8.9883
2339,190.5807,8.9883
2340,190.5807,8.9883
2341,190.5807,8.9883
2342,190.5807,8.9883
2343,190.5807,8.9883
2344,190.5807,8.9883
2345,190.5807,8.9883
2346,190.5807,8.9883
2347,190.5807,8.9883
2348,190.5807,8.9883
2349,190.5807,8.9883
2350,190.5807,8.9883
2351,190.5807,8.9883
2352,190.5807,8.9883
2353,190.5807,8.9883
2354,190.5807,8.9883
2355,190.5807,8.9883
2356,190.5807,8.9883
2357,190.5807,8.9883
2358,190.5807,8.9883
2359,190.5807,8.9883
2360,190.5807,8.9883
2361,190.5807,8.9883
2362,190.5807,8.9883
2363,190.5807,8.9883
2364,190.5807,8.9883
2365,190.5807,8.9883
2366,190.5807,8.9883
2367,190.5807,8.9883
2368,190.5807,8.9883
2369,190.5807,8.9883
2370,190.5807,8.9883
2371,190.5807,8.9883
2372,190.5807,8.9883
2373,190.5807,8.9883
2374,190.5807,8.9883
2375,190.5807,8.9883
2376,190.5807,8.9883
2377,190.5807,8.9883
2378,190.5807,8.9883
2379,190.5807,8.9883
2380,190.5807,8.9883
2381,190.5807,8.9883
2382,190.5807,8.9883
2383,190.5807,8.9883
2384,190.5807,8.9883
2385,190.5807,8.9883
2386,190.5807,8.9883
2387,190.5807,8.9883
2388,190.5807,8.9883
2389,190.5807,8.9883
2390,190.5807,8.9883
2391,190.5807,8.9883
2392,190.5807,8.9883
2393,190.5807,8.9883
2394,190.5807,8.9883
2395,190.5807,8.9883
2396,190.5807,8.9883
2397,190.5807,8.9883
2398,190.5807,8.9883
2399,190.5807,8.9883
2400,190.5807,8.9883
2401,190.5807,8.9883
2402,190.5807,8.9883
2403,190.5807,8.9883
2404,190.5807,8.9883
2405,190.5807,8.9883
2406,190.5807,8.9883
2407,190.5807,8.9883
